STT,gpa,hk,kq
199,3.13,1,gioi
200,3.13,1,gioi
201,3.13,3,gioi
202,3.14,6,gioi
203,3.15,4,gioi
204,3.17,6,gioi
205,3.19,4,gioi
206,3.2,3,gioi
207,3.2,3,gioi
208,3.2,4,gioi
209,3.21,3,gioi
210,3.21,3,gioi
211,3.21,6,gioi
212,3.22,3,gioi
213,3.22,4,gioi
214,3.24,3,gioi
215,3.25,1,gioi
216,3.27,6,gioi
217,3.29,4,gioi
218,3.29,4,gioi
219,3.3,3,gioi
220,3.3,6,gioi
221,3.3,6,gioi
222,3.31,4,gioi
223,3.33,3,gioi
224,3.33,4,gioi
225,3.33,4,gioi
226,3.33,6,gioi
227,3.36,3,gioi
228,3.36,6,gioi
229,3.37,4,gioi
230,3.37,4,gioi
231,3.38,1,gioi
232,3.38,4,gioi
233,3.39,6,gioi
234,3.41,3,gioi
235,3.42,6,gioi
236,3.43,3,gioi
237,3.45,6,gioi
238,3.47,4,gioi
239,3.48,4,gioi
240,3.48,4,gioi
241,3.5,1,gioi
242,3.5,3,gioi
243,3.5,6,gioi
244,3.52,3,gioi
245,3.52,4,gioi
246,3.54,3,gioi
247,3.61,3,gioi
248,3.63,1,gioi
249,3.63,1,gioi
250,3.72,3,gioi
251,3.74,4,gioi
252,3.75,1,gioi
